	Epoch			Reward
Episode:	281	Avereged	reward:	20.57
Episode:	282	Avereged	reward:	20.9
Episode:	283	Avereged	reward:	21.13
Episode:	284	Avereged	reward:	21.1
Episode:	285	Avereged	reward:	21.3
Episode:	286	Avereged	reward:	21.1
Episode:	287	Avereged	reward:	21.53
Episode:	288	Avereged	reward:	21.4
Episode:	289	Avereged	reward:	21.73
Episode:	290	Avereged	reward:	21.5
Episode:	291	Avereged	reward:	21.77
Episode:	292	Avereged	reward:	21.77
Episode:	293	Avereged	reward:	21.4
Episode:	294	Avereged	reward:	21.7
Episode:	295	Avereged	reward:	21.53
Episode:	296	Avereged	reward:	21.67
Episode:	297	Avereged	reward:	22.07
Episode:	298	Avereged	reward:	22.03
Episode:	299	Avereged	reward:	22.27
Episode:	300	Avereged	reward:	22
Episode:	301	Avereged	reward:	22.37
Episode:	302	Avereged	reward:	22.47
Episode:	303	Avereged	reward:	22.37
Episode:	304	Avereged	reward:	22.4
Episode:	305	Avereged	reward:	22.17
Episode:	306	Avereged	reward:	21.77
Episode:	307	Avereged	reward:	21.57
Episode:	308	Avereged	reward:	21.3
Episode:	309	Avereged	reward:	21.8
Episode:	310	Avereged	reward:	21.7
Episode:	311	Avereged	reward:	21.47
Episode:	312	Avereged	reward:	21.17
Episode:	313	Avereged	reward:	20.9
Episode:	314	Avereged	reward:	20.93
Episode:	315	Avereged	reward:	21.1
Episode:	316	Avereged	reward:	21.37
Episode:	317	Avereged	reward:	21.3
Episode:	318	Avereged	reward:	21.4
Episode:	319	Avereged	reward:	21.37
Episode:	320	Avereged	reward:	21.67
Episode:	321	Avereged	reward:	21.47
Episode:	322	Avereged	reward:	21.07
Episode:	323	Avereged	reward:	20.93
Episode:	324	Avereged	reward:	21.1
Episode:	325	Avereged	reward:	21.07
Episode:	326	Avereged	reward:	20.9
Episode:	327	Avereged	reward:	20.8
Episode:	328	Avereged	reward:	20.93
Episode:	329	Avereged	reward:	21
Episode:	330	Avereged	reward:	20.97
Episode:	331	Avereged	reward:	20.77
Episode:	332	Avereged	reward:	20.67
Episode:	333	Avereged	reward:	21.1
Episode:	334	Avereged	reward:	20.7
Episode:	335	Avereged	reward:	20.8
Episode:	336	Avereged	reward:	20.6
Episode:	337	Avereged	reward:	20.3
Episode:	338	Avereged	reward:	20.53
Episode:	339	Avereged	reward:	20.2
Episode:	340	Avereged	reward:	20.13
Episode:	341	Avereged	reward:	20.03
Episode:	342	Avereged	reward:	19.93
Episode:	343	Avereged	reward:	19.93
Episode:	344	Avereged	reward:	19.87
Episode:	345	Avereged	reward:	19.7
Episode:	346	Avereged	reward:	19.47
Episode:	347	Avereged	reward:	19.13
Episode:	348	Avereged	reward:	19.03
Episode:	349	Avereged	reward:	18.73
Episode:	350	Avereged	reward:	18.43
Episode:	351	Avereged	reward:	18.77
Episode:	352	Avereged	reward:	18.73
Episode:	353	Avereged	reward:	18.77
Episode:	354	Avereged	reward:	18.77
Episode:	355	Avereged	reward:	18.83
Episode:	356	Avereged	reward:	18.8
Episode:	357	Avereged	reward:	18.93
Episode:	358	Avereged	reward:	18.97
Episode:	359	Avereged	reward:	18.57
Episode:	360	Avereged	reward:	18.67
Episode:	361	Avereged	reward:	18.83
Episode:	362	Avereged	reward:	19.13
Episode:	363	Avereged	reward:	19.2
Episode:	364	Avereged	reward:	19.27
Episode:	365	Avereged	reward:	19.23
Episode:	366	Avereged	reward:	19.63
Episode:	367	Avereged	reward:	20.03
Episode:	368	Avereged	reward:	19.83
Episode:	369	Avereged	reward:	19.93
Episode:	370	Avereged	reward:	20.1
Episode:	371	Avereged	reward:	20.2
Episode:	372	Avereged	reward:	20.53
Episode:	373	Avereged	reward:	20.33
Episode:	374	Avereged	reward:	20.07
Episode:	375	Avereged	reward:	20.57
Episode:	376	Avereged	reward:	20.7
Episode:	377	Avereged	reward:	20.6
Episode:	378	Avereged	reward:	20.4
Episode:	379	Avereged	reward:	20.67
Episode:	380	Avereged	reward:	20.87
Episode:	381	Avereged	reward:	20.97
Episode:	382	Avereged	reward:	21.03
Episode:	383	Avereged	reward:	20.83
Episode:	384	Avereged	reward:	20.53
Episode:	385	Avereged	reward:	20.33
Episode:	386	Avereged	reward:	20.2
Episode:	387	Avereged	reward:	20.13
Episode:	388	Avereged	reward:	20
Episode:	389	Avereged	reward:	20.33
Episode:	390	Avereged	reward:	20.7
Episode:	391	Avereged	reward:	20.5
Episode:	392	Avereged	reward:	20.1
Episode:	393	Avereged	reward:	19.47
Episode:	394	Avereged	reward:	19.43
Episode:	395	Avereged	reward:	19.43
Episode:	396	Avereged	reward:	19.47
Episode:	397	Avereged	reward:	19.5
Episode:	398	Avereged	reward:	19.43
Episode:	399	Avereged	reward:	19.53
Episode:	400	Avereged	reward:	19.2
Episode:	401	Avereged	reward:	19.17
Episode:	402	Avereged	reward:	18.77
Episode:	403	Avereged	reward:	18.97
Episode:	404	Avereged	reward:	19.2
Episode:	405	Avereged	reward:	18.57
Episode:	406	Avereged	reward:	18.47
Episode:	407	Avereged	reward:	18.97
Episode:	408	Avereged	reward:	19.37
Episode:	409	Avereged	reward:	19.47
Episode:	410	Avereged	reward:	19.23
Episode:	411	Avereged	reward:	19.03
Episode:	412	Avereged	reward:	18.93
Episode:	413	Avereged	reward:	19.27
Episode:	414	Avereged	reward:	19.13
Episode:	415	Avereged	reward:	19.37
Episode:	416	Avereged	reward:	19.3
Episode:	417	Avereged	reward:	19.1
Episode:	418	Avereged	reward:	19
Episode:	419	Avereged	reward:	18.57
Episode:	420	Avereged	reward:	18.3
Episode:	421	Avereged	reward:	18.1
Episode:	422	Avereged	reward:	17.9
Episode:	423	Avereged	reward:	18.13
Episode:	424	Avereged	reward:	18.43
Episode:	425	Avereged	reward:	18.23
Episode:	426	Avereged	reward:	18
Episode:	427	Avereged	reward:	18.13
Episode:	428	Avereged	reward:	18.03
Episode:	429	Avereged	reward:	17.87
Episode:	430	Avereged	reward:	18.43
Episode:	431	Avereged	reward:	18.53
Episode:	432	Avereged	reward:	18.63
Episode:	433	Avereged	reward:	18.67
Episode:	434	Avereged	reward:	18.87
Episode:	435	Avereged	reward:	18.9
Episode:	436	Avereged	reward:	19.27
Episode:	437	Avereged	reward:	19.2
Episode:	438	Avereged	reward:	19.1
Episode:	439	Avereged	reward:	19.1
Episode:	440	Avereged	reward:	19.4
Episode:	441	Avereged	reward:	19.5
Episode:	442	Avereged	reward:	19.73
Episode:	443	Avereged	reward:	19.7
Episode:	444	Avereged	reward:	19.8
Episode:	445	Avereged	reward:	19.83
Episode:	446	Avereged	reward:	20.13
Episode:	447	Avereged	reward:	20.47
Episode:	448	Avereged	reward:	20.9
Episode:	449	Avereged	reward:	21.23
Episode:	450	Avereged	reward:	21.33
Episode:	451	Avereged	reward:	21.43
Episode:	452	Avereged	reward:	21.83
Episode:	453	Avereged	reward:	22
Episode:	454	Avereged	reward:	22.17
Episode:	455	Avereged	reward:	22
Episode:	456	Avereged	reward:	21.77
Episode:	457	Avereged	reward:	21.6
Episode:	458	Avereged	reward:	21.63
Episode:	459	Avereged	reward:	21.8
Episode:	460	Avereged	reward:	21.53
Episode:	461	Avereged	reward:	21.47
Episode:	462	Avereged	reward:	21.83
Episode:	463	Avereged	reward:	22.13
Episode:	464	Avereged	reward:	22.03
Episode:	465	Avereged	reward:	22.3
Episode:	466	Avereged	reward:	22.23
Episode:	467	Avereged	reward:	22.13
Episode:	468	Avereged	reward:	22.27
Episode:	469	Avereged	reward:	21.87
Episode:	470	Avereged	reward:	21.97
Episode:	471	Avereged	reward:	21.87
Episode:	472	Avereged	reward:	22.1
Episode:	473	Avereged	reward:	22.27
Episode:	474	Avereged	reward:	22.67
Episode:	475	Avereged	reward:	22.77
Episode:	476	Avereged	reward:	22.93
Episode:	477	Avereged	reward:	23
Episode:	478	Avereged	reward:	23
Episode:	479	Avereged	reward:	23.1
Episode:	480	Avereged	reward:	23.07
Episode:	481	Avereged	reward:	22.83
Episode:	482	Avereged	reward:	23.1
Episode:	483	Avereged	reward:	22.73
Episode:	484	Avereged	reward:	22.43
Episode:	485	Avereged	reward:	22.73
Episode:	486	Avereged	reward:	23.2
Episode:	487	Avereged	reward:	23.33
Episode:	488	Avereged	reward:	23.7
Episode:	489	Avereged	reward:	23.57
Episode:	490	Avereged	reward:	23.27
Episode:	491	Avereged	reward:	23.43
Episode:	492	Avereged	reward:	23.2
Episode:	493	Avereged	reward:	23.2
Episode:	494	Avereged	reward:	22.9
Episode:	495	Avereged	reward:	22.43
Episode:	496	Avereged	reward:	22.07
Episode:	497	Avereged	reward:	22.13
Episode:	498	Avereged	reward:	22.23
Episode:	499	Avereged	reward:	22.3
Episode:	500	Avereged	reward:	21.93
Episode:	501	Avereged	reward:	22
Episode:	502	Avereged	reward:	21.7
Episode:	503	Avereged	reward:	21.4
Episode:	504	Avereged	reward:	21.4
Episode:	505	Avereged	reward:	21.6
Episode:	506	Avereged	reward:	21.23
Episode:	507	Avereged	reward:	21.03
Episode:	508	Avereged	reward:	20.6
Episode:	509	Avereged	reward:	20.07
Episode:	510	Avereged	reward:	20.27
Episode:	511	Avereged	reward:	20.53
Episode:	512	Avereged	reward:	20.33
Episode:	513	Avereged	reward:	20.83
Episode:	514	Avereged	reward:	20.8
Episode:	515	Avereged	reward:	21.03
Episode:	516	Avereged	reward:	20.83
Episode:	517	Avereged	reward:	20.77
Episode:	518	Avereged	reward:	20.3
Episode:	519	Avereged	reward:	20.23
Episode:	520	Avereged	reward:	20.5
Episode:	521	Avereged	reward:	20.37
Episode:	522	Avereged	reward:	20.43
Episode:	523	Avereged	reward:	20.53
Episode:	524	Avereged	reward:	20.47
Episode:	525	Avereged	reward:	20.37
Episode:	526	Avereged	reward:	20.6
Episode:	527	Avereged	reward:	20.63
Episode:	528	Avereged	reward:	20.33
Episode:	529	Avereged	reward:	20.37
Episode:	530	Avereged	reward:	20.43
Episode:	531	Avereged	reward:	20.47
Episode:	532	Avereged	reward:	20.67
Episode:	533	Avereged	reward:	20.53
Episode:	534	Avereged	reward:	20.3
Episode:	535	Avereged	reward:	20.1
Episode:	536	Avereged	reward:	20.27
Episode:	537	Avereged	reward:	20.47
Episode:	538	Avereged	reward:	20.87
Episode:	539	Avereged	reward:	21.03
Episode:	540	Avereged	reward:	20.67
Episode:	541	Avereged	reward:	20.4
Episode:	542	Avereged	reward:	20.17
Episode:	543	Avereged	reward:	20.47
Episode:	544	Avereged	reward:	20.53
Episode:	545	Avereged	reward:	20.37
Episode:	546	Avereged	reward:	20.73
Episode:	547	Avereged	reward:	20.47
Episode:	548	Avereged	reward:	20.93
Episode:	549	Avereged	reward:	21.27
Episode:	550	Avereged	reward:	21.57
Episode:	551	Avereged	reward:	21.93
Episode:	552	Avereged	reward:	22.1
Episode:	553	Avereged	reward:	21.67
Episode:	554	Avereged	reward:	21.93
Episode:	555	Avereged	reward:	22.2
Episode:	556	Avereged	reward:	22.4
Episode:	557	Avereged	reward:	22.37
Episode:	558	Avereged	reward:	22.47
Episode:	559	Avereged	reward:	22.83
Episode:	560	Avereged	reward:	22.9
Episode:	561	Avereged	reward:	22.33
Episode:	562	Avereged	reward:	22.07
Episode:	563	Avereged	reward:	22.6
Episode:	564	Avereged	reward:	22.47
Episode:	565	Avereged	reward:	22.17
Episode:	566	Avereged	reward:	22.17
Episode:	567	Avereged	reward:	21.73
Episode:	568	Avereged	reward:	21.4
Episode:	569	Avereged	reward:	21.2
Episode:	570	Avereged	reward:	21.27
Episode:	571	Avereged	reward:	21.27
Episode:	572	Avereged	reward:	21.4
Episode:	573	Avereged	reward:	21
Episode:	574	Avereged	reward:	21.27
Episode:	575	Avereged	reward:	20.9
Episode:	576	Avereged	reward:	20.77
Episode:	577	Avereged	reward:	20.5
Episode:	578	Avereged	reward:	20.43
Episode:	579	Avereged	reward:	20.07
Episode:	580	Avereged	reward:	19.83
Episode:	581	Avereged	reward:	19.63
Episode:	582	Avereged	reward:	19.37
Episode:	583	Avereged	reward:	19.13
Episode:	584	Avereged	reward:	18.87
Episode:	585	Avereged	reward:	18.8
Episode:	586	Avereged	reward:	18.27
Episode:	587	Avereged	reward:	18.1
Episode:	588	Avereged	reward:	18.17
Episode:	589	Avereged	reward:	17.57
Episode:	590	Avereged	reward:	17.63
Episode:	591	Avereged	reward:	17.93
Episode:	592	Avereged	reward:	17.87
Episode:	593	Avereged	reward:	17.9
Episode:	594	Avereged	reward:	17.8
Episode:	595	Avereged	reward:	17.83
Episode:	596	Avereged	reward:	17.97
Episode:	597	Avereged	reward:	18.07
Episode:	598	Avereged	reward:	18
